Id,SalePrice
1461,123929.629601
1462,151040.366318
1463,184114.059824
1464,180054.534444
1465,198503.421672
1466,182050.370997
1467,167928.970816
1468,175896.283842
1469,189816.134803
1470,119663.837595
1471,200691.907507
1472,97134.9587629
1473,98664.6384521
1474,153380.966743
1475,150757.491755
1476,375894.498234
1477,259823.360582
1478,313565.347369
1479,282287.041738
1480,474510.022622
1481,320057.725153
1482,209127.984628
1483,175404.264099
1484,176604.659833
1485,173568.085424
1486,195387.983825
1487,311975.169896
1488,235320.621239
1489,204619.503848
1490,191694.239811
1491,191897.314656
1492,99335.1466945
1493,173625.004097
1494,306392.726437
1495,302807.549218
1496,233842.194664
1497,192204.647883
1498,155462.842932
1499,155924.927051
1500,154020.54295
1501,166905.674079
1502,168290.798092
1503,283733.329919
1504,226456.27482
1505,219587.487763
1506,179132.127879
1507,200325.666443
1508,205271.25364
1509,164893.319085
1510,152438.141863
1511,152376.383163
1512,167734.856194
1513,137038.671962
1514,153330.397194
1515,164411.024469
1516,153411.349618
1517,151010.499022
1518,127821.644677
1519,218127.546869
1520,137954.317579
1521,145711.800645
1522,157922.918205
1523,116997.849779
1524,122795.366273
1525,125960.912638
1526,126489.444977
1527,98094.2216489
1528,129249.580714
1529,143364.525729
1530,166022.843167
1531,120219.922757
1532,106472.9891
1533,136483.992131
1534,114498.073301
1535,146917.263506
1536,116921.306823
1537,75343.957138
1538,172955.107222
1539,221318.725577
1540,110143.944003
1541,137303.598173
1542,140753.472474
1543,226033.32034
1544,77072.7541245
1545,104227.210859
1546,121326.944104
1547,134247.43691
1548,132105.387259
1549,110595.615484
1550,142457.28411
1551,116280.622652
1552,126547.622111
1553,132078.474808
1554,110601.419943
1555,165447.619489
1556,95503.2195131
1557,123237.633377
1558,90675.0664856
1559,109304.399675
1560,147828.374122
1561,132250.513601
1562,125047.154466
1563,121997.707275
1564,165755.880214
1565,155343.03875
1566,223029.836273
1567,75070.4505698
1568,221375.088553
1569,140333.778843
1570,121577.488029
1571,124890.44562
1572,144484.429335
1573,235822.222026
1574,124257.76467
1575,205911.938482
1576,211046.565768
1577,200628.855645
1578,141840.835095
1579,143005.078333
1580,191829.491012
1581,137954.410519
1582,130645.798973
1583,316253.988821
1584,239078.130643
1585,141298.091652
